iter	Passed	Remaining
0	0	306
1	0	224
2	0	176
3	0	180
4	0	170
5	1	170
6	1	160
7	1	154
8	1	151
9	1	153
10	1	149
11	1	150
12	2	152
13	2	152
14	2	146
15	2	148
16	2	147
17	2	149
18	2	149
19	2	146
20	3	147
21	3	147
22	3	145
23	3	144
24	3	144
25	3	144
26	4	144
27	4	143
28	4	142
29	4	143
30	4	141
31	4	141
32	4	141
33	4	142
34	5	140
35	5	140
36	5	140
37	5	138
38	5	137
39	5	136
40	5	136
41	6	137
42	6	137
43	6	136
44	6	136
45	6	137
46	6	137
47	6	136
48	7	136
49	7	137
50	7	136
51	7	137
52	7	135
53	7	135
54	7	135
55	7	134
56	8	134
57	8	134
58	8	134
59	8	133
60	8	133
61	8	134
62	9	134
63	9	134
64	9	135
65	9	135
66	9	135
67	9	135
68	9	134
69	10	134
70	10	134
71	10	134
72	10	134
73	10	134
74	10	134
75	11	134
76	11	134
77	11	134
78	11	134
79	11	134
80	11	134
81	12	135
82	12	134
83	12	134
84	12	134
85	12	134
86	12	134
87	13	134
88	13	134
89	13	134
90	13	134
91	13	134
92	13	133
93	13	133
94	13	132
95	14	132
96	14	132
97	14	132
98	14	132
99	14	132
100	14	132
101	15	132
102	15	132
103	15	132
104	15	133
105	15	133
106	15	132
107	16	132
108	16	132
109	16	132
110	16	133
111	16	132
112	16	132
113	17	132
114	17	132
115	17	132
116	17	132
117	17	132
118	17	132
119	18	132
120	18	132
121	18	131
122	18	132
123	18	132
124	18	132
125	19	132
126	19	132
127	19	132
128	19	132
129	19	132
130	19	132
131	20	132
132	20	132
133	20	132
134	20	132
135	20	132
136	21	132
137	21	132
138	21	132
139	21	132
140	21	132
141	21	132
142	22	132
143	22	131
144	22	131
145	22	131
146	22	131
147	22	131
148	23	131
149	23	131
150	23	131
151	23	131
152	23	131
153	24	131
154	24	131
155	24	131
156	24	131
157	24	131
158	24	131
159	25	131
160	25	131
161	25	131
162	25	131
163	25	131
164	25	131
165	26	131
166	26	131
167	26	131
168	26	130
169	26	130
170	26	130
171	27	130
172	27	130
173	27	130
174	27	130
175	27	130
176	27	130
177	28	130
178	28	129
179	28	129
180	28	129
181	28	129
182	29	129
183	29	129
184	29	129
185	29	129
186	29	129
187	29	129
188	30	128
189	30	128
190	30	128
191	30	128
192	30	128
193	30	128
194	31	128
195	31	128
196	31	128
197	31	128
198	31	128
199	31	127
200	32	127
201	32	127
202	32	127
203	32	127
204	32	127
205	33	127
206	33	127
207	33	127
208	33	127
209	33	126
210	33	126
211	34	126
212	34	126
213	34	126
214	34	126
215	34	126
216	34	126
217	35	126
218	35	126
219	35	126
220	35	125
221	35	125
222	36	125
223	36	125
224	36	125
225	36	125
226	36	125
227	37	125
228	37	125
229	37	125
230	37	124
231	37	124
232	37	124
233	38	124
234	38	124
235	38	124
236	38	124
237	38	124
238	38	123
239	39	123
240	39	123
241	39	123
242	39	123
243	39	123
244	39	123
245	40	122
246	40	122
247	40	122
248	40	122
249	40	122
250	40	122
251	41	122
252	41	122
253	41	121
254	41	121
255	41	121
256	42	121
257	42	121
258	42	121
259	42	121
260	42	121
261	42	120
262	43	120
263	43	120
264	43	120
265	43	120
266	43	120
267	43	120
268	44	119
269	44	119
270	44	119
271	44	119
272	44	119
273	45	119
274	45	119
275	45	118
276	45	118
277	45	118
278	45	118
279	46	118
280	46	118
281	46	118
282	46	118
283	46	118
284	46	117
285	47	117
286	47	117
287	47	117
288	47	117
289	47	117
290	48	117
291	48	116
292	48	116
293	48	116
294	48	116
295	48	116
296	49	116
297	49	116
298	49	115
299	49	115
300	49	115
301	50	115
302	50	115
303	50	115
304	50	115
305	50	115
306	50	114
307	51	114
308	51	114
309	51	114
310	51	114
311	51	114
312	51	114
313	52	113
314	52	113
315	52	113
316	52	113
317	52	113
318	53	113
319	53	113
320	53	113
321	53	112
322	53	112
323	53	112
324	54	112
325	54	112
326	54	112
327	54	111
328	54	111
329	55	111
330	55	111
331	55	111
332	55	111
333	55	111
334	55	111
335	56	110
336	56	110
337	56	110
338	56	110
339	56	110
340	56	110
341	57	109
342	57	109
343	57	109
344	57	109
345	57	109
346	58	109
347	58	109
348	58	108
349	58	108
350	58	108
351	58	108
352	59	108
353	59	108
354	59	108
355	59	107
356	59	107
357	60	107
358	60	107
359	60	107
360	60	107
361	60	107
362	60	106
363	61	106
364	61	106
365	61	106
366	61	106
367	61	106
368	61	105
369	62	105
370	62	105
371	62	105
372	62	105
373	62	105
374	63	105
375	63	104
376	63	104
377	63	104
378	63	104
379	63	104
380	64	104
381	64	104
382	64	103
383	64	103
384	64	103
385	65	103
386	65	103
387	65	103
388	65	103
389	65	103
390	66	102
391	66	102
392	66	102
393	66	102
394	66	102
395	66	102
396	67	101
397	67	101
398	67	101
399	67	101
400	67	101
401	67	101
402	68	100
403	68	100
404	68	100
405	68	100
406	68	100
407	69	100
408	69	99
409	69	99
410	69	99
411	69	99
412	69	99
413	70	99
414	70	99
415	70	98
416	70	98
417	70	98
418	70	98
419	71	98
420	71	98
421	71	98
422	71	97
423	71	97
424	72	97
425	72	97
426	72	97
427	72	97
428	72	96
429	73	96
430	73	96
431	73	96
432	73	96
433	73	96
434	73	95
435	74	95
436	74	95
437	74	95
438	74	95
439	74	95
440	74	94
441	75	94
442	75	94
443	75	94
444	75	94
445	75	94
446	75	93
447	76	93
448	76	93
449	76	93
450	76	93
451	76	93
452	76	92
453	77	92
454	77	92
455	77	92
456	77	92
457	77	92
458	78	92
459	78	91
460	78	91
461	78	91
462	78	91
463	78	91
464	79	91
465	79	90
466	79	90
467	79	90
468	79	90
469	79	90
470	80	90
471	80	89
472	80	89
473	80	89
474	80	89
475	81	89
476	81	89
477	81	88
478	81	88
479	81	88
480	81	88
481	82	88
482	82	88
483	82	87
484	82	87
485	82	87
486	82	87
487	83	87
488	83	87
489	83	86
490	83	86
491	83	86
492	84	86
493	84	86
494	84	86
495	84	85
496	84	85
497	84	85
498	85	85
499	85	85
500	85	85
501	85	84
502	85	84
503	85	84
504	86	84
505	86	84
506	86	84
507	86	83
508	86	83
509	86	83
510	87	83
511	87	83
512	87	83
513	87	82
514	87	82
515	88	82
516	88	82
517	88	82
518	88	82
519	88	81
520	88	81
